n,tiempo,metodo,dataset
2,0.000044,DP,mejor-caso-bt
4,0.000140,DP,mejor-caso-bt
6,0.000253,DP,mejor-caso-bt
8,0.000217,DP,mejor-caso-bt
10,0.000145,DP,mejor-caso-bt
12,0.000310,DP,mejor-caso-bt
14,0.000313,DP,mejor-caso-bt
16,0.000182,DP,mejor-caso-bt
18,0.000210,DP,mejor-caso-bt
20,0.000265,DP,mejor-caso-bt
22,0.000219,DP,mejor-caso-bt
24,0.000262,DP,mejor-caso-bt
26,0.000263,DP,mejor-caso-bt
28,0.000476,DP,mejor-caso-bt
30,0.000299,DP,mejor-caso-bt
32,0.000482,DP,mejor-caso-bt
34,0.000362,DP,mejor-caso-bt
36,0.000632,DP,mejor-caso-bt
38,0.000398,DP,mejor-caso-bt
40,0.000683,DP,mejor-caso-bt
42,0.000515,DP,mejor-caso-bt
